ProblemType,Problem,Solution
Sequences and Limits,Prove that $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$.,"Let $r_n$ and $\epsilon_n$ be the integral and fractional parts of the number $n! e$ respectively. Using the expansion
$$
e = 1 + \frac{1}{1!} + \frac{1}{2!} + \frac{1}{3!} + \cdots,
$$
we have
$$
\begin{cases}
r_n = n! \left( 1 + \frac{1}{1!} + \frac{1}{2!} + \cdots + \frac{1}{n!} \right) \\
\epsilon_n = \frac{1}{n+1} + \frac{1}{(n+1)(n+2)} + \cdots,
\end{cases}
$$
since
$$
\frac{1}{n+1} < \epsilon_n < \frac{1}{n+1} + \frac{1}{(n+1)^2} + \cdots = \frac{1}{n}.
$$

Thus $\sin(2n! e \pi) = \sin(2\pi \epsilon_n)$. Note that this implies the irrationality of $e$.

Since $n \epsilon_n$ converges to $1$ as $n \to \infty$, we have
$$
\lim_{n \to \infty} n \sin(2\pi \epsilon_n) = \lim_{n \to \infty} \frac{\sin(2\pi \epsilon_n)}{\epsilon_n} = 2\pi.
$$

Hence $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$."
Sequences and Limits,"Prove that the sequence
$$
\left( \frac{1}{n} \right)^n + \left( \frac{2}{n} \right)^n + \cdots + \left( \frac{n}{n} \right)^n
$$
converges to $e / (e - 1)$ as $n \to \infty$.","Let $r_n$ and $\epsilon_n$ be the integral and fractional parts of the number $n! e$ respectively. Using the expansion
$$
e = 1 + \frac{1}{1!} + \frac{1}{2!} + \frac{1}{3!} + \cdots,
$$
we have
$$
\begin{cases}
r_n = n! \left( 1 + \frac{1}{1!} + \frac{1}{2!} + \cdots + \frac{1}{n!} \right) \\
\epsilon_n = \frac{1}{n+1} + \frac{1}{(n+1)(n+2)} + \cdots,
\end{cases}
$$
since
$$
\frac{1}{n+1} < \epsilon_n < \frac{1}{n+1} + \frac{1}{(n+1)^2} + \cdots = \frac{1}{n}.
$$

Thus $\sin(2n! e \pi) = \sin(2\pi \epsilon_n)$. Note that this implies the irrationality of $e$.

Since $n \epsilon_n$ converges to $1$ as $n \to \infty$, we have
$$
\lim_{n \to \infty} n \sin(2\pi \epsilon_n) = \lim_{n \to \infty} \frac{\sin(2\pi \epsilon_n)}{\epsilon_n} = 2\pi.
$$

Hence $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$."
Sequences and Limits,"Suppose that $a_n$ and $b_n$ converge to $\alpha$ and $\beta$ as $n \to \infty$ respectively. Show that the sequence
$$
\frac{a_0 b_n + a_1 b_{n-1} + \cdots + a_n b_0}{n}
$$
converges to $\alpha \beta$ as $n \to \infty$.","Let $M$ be an upper bound of the two convergent sequences $|a_n|$ and $|b_n|$. For any $\epsilon > 0$ we can take a positive integer $N$ satisfying $|a_n - \alpha| < \epsilon$ and $|b_n - \beta| < \epsilon$ for all integers $n$ greater than $N$. If $n$ is greater than $N^2$, then
$$
|a_k b_{n-k} - \alpha \beta| \leq |(a_k - \alpha) b_{n-k} + \alpha (b_{n-k} - \beta)| 
\leq (M + |\alpha|) \epsilon
$$
for any integer $k$ in the interval $\left[\sqrt{n}, n - \sqrt{n}\right]$. Therefore
$$
\left| \frac{1}{n} \sum_{k=0}^n a_k b_{n-k} - \alpha \beta \right| 
\leq \frac{1}{n} \sum_{\sqrt{n} \leq k \leq n - \sqrt{n}} |a_k b_{n-k} - \alpha \beta|
+ 2 \left(|\alpha \beta| + M^2 \right) \frac{\lfloor \sqrt{n} \rfloor + 1}{n}
$$
$$
\leq (M + |\alpha|) \epsilon + 2 \left(|\alpha \beta| + M^2\right) \frac{\sqrt{n} + 1}{n}.
$$

We can take $n$ so large that the last expression is less than $(M + |\alpha| + 1)\epsilon$."
Sequences and Limits,"Suppose that $\{a_n\}_{n \geq 0}$ is a non-negative sequence satisfying
$$
a_{m+n} \leq a_m + a_n + C
$$
for all positive integers $m, n$ and some non-negative constant $C$. Show that $a_n / n$ converges as $n \to \infty$.","For an arbitrary fixed positive integer $k$ we put $n = qk + r$ with $0 \leq r < k$. Since $a_n = a_{qk+r} \leq q(a_k + C) + a_r$, we have
$$
\frac{a_n}{n} \leq \frac{a_k + C}{k} + \frac{a_r}{n}.
$$
Taking the limit as $n \to \infty$, we get
$$
\limsup_{n \to \infty} \frac{a_n}{n} \leq \frac{a_k + C}{k}.
$$
The sequence $a_n / n$ is therefore bounded. Since $k$ is arbitrary, we may conclude that
$$
\limsup_{n \to \infty} \frac{a_n}{n} \leq \liminf_{k \to \infty} \frac{a_k}{k},
$$
which means the convergence of $a_n / n$. 
"
Sequences and Limits,"For any positive sequence $\{a_n\}_{n \geq 1}$, show that
$$
\left( \frac{a_1 + a_{n+1}}{a_n} \right)^n > e
$$
for infinitely many $n$'s, where $e$ is the base of the natural logarithm. Prove moreover that the constant $e$ on the right-hand side cannot in general be replaced by any larger number.","Without loss of generality we may put $a_1 = 1$. Suppose, contrary to the conclusion, that there is an integer $N$ satisfying
$$
\left(\frac{1 + a_{n+1}}{a_n}\right)^n \leq e
$$
for all $n \geq N$. Put
$$
s_{j,k} = \exp\left(\frac{1}{j} + \cdots + \frac{1}{k}\right)
$$
for any integers $j \leq k$. Since $0 < a_{n+1} \leq e^{1/n} a_n - 1$, we get successively
$$
\begin{cases}
0 < a_{n+1} \leq s_{n,n} a_n - 1, \\
0 < a_{n+2} \leq s_{n,n+1} a_n - s_{n+1,n+1} - 1, \\
\vdots \\
0 < a_{n+k+1} \leq s_{n,n+k} a_n - s_{n+1,n+k} - \cdots - s_{n+k,n+k} - 1
\end{cases}
$$
for any non-negative integer $k$. Hence it follows that
$$
a_n > \frac{1}{s_{n,n}} + \frac{1}{s_{n,n+1}} + \cdots + \frac{1}{s_{n,n+k}}.
$$

On the other hand, using the inequality
$$
\frac{1}{s_{n,n+j}} > \exp\left(-\int_{n-1}^{n+j} \frac{dx}{x}\right) = \frac{n-1}{n+j},
$$
we get
$$
a_n > \sum_{j=0}^k \frac{n-1}{n+j},
$$
which is a contradiction, since the right-hand side diverges to $\infty$ as $k \to \infty$.

To see that the bound $e$ cannot be replaced by any larger number, consider the case $a_n = n \log n$ for $n \geq 2$. Then
$$
\left(\frac{a_1 + (n+1)\log(n+1)}{n \log n}\right)^n = \exp\left(n \log\left(1 + \frac{1}{n} + O\left(\frac{1}{n \log n}\right)\right)\right)
$$
$$
= \exp\left(1 + O\left(\frac{1}{\log n}\right)\right),
$$
which converges to $e$ as $n \to \infty$.
"
Sequences and Limits,"For any $0 < \theta < \pi$ and any positive integer $n$, show the inequality
$$
\sin\theta + \frac{\sin 2\theta}{2} + \cdots + \frac{\sin n\theta}{n} > 0.
$$","Denote by $s_n(\theta)$ the left-hand side of the inequality to be shown. Write $\theta$ for $2\vartheta$ for brevity. Since
$$
s_n'(\theta) = \Re \left(e^{i\theta} + e^{2i\theta} + \cdots + e^{ni\theta} \right)
= \frac{\cos(n+1)\vartheta \sin n\vartheta}{\sin\vartheta},
$$
we obtain the candidates for extreme points of $s_n(\theta)$ on the interval $(0, \pi]$ by solving the equations $\cos(n+1)\vartheta = 0$ and $\sin n\vartheta = 0$, as follows:
$$
\frac{\pi}{n+1}, \frac{2\pi}{n}, \frac{3\pi}{n+1}, \frac{4\pi}{n}, \dots
$$
where the last two candidates are $(n-1)\pi/(n+1)$ and $\pi$ if $n$ is even, and $(n-1)\pi/n$ and $n\pi/(n+1)$ if $n$ is odd. In any case $s_n'(\theta)$ vanishes at least at $n$ points in the interval $(0, \pi)$.

Since $s_n'(\theta)$ can be expressed as a polynomial in $\cos\theta$ of degree $n$ and $\cos\theta$ maps the interval $[0, \pi]$ onto $[-1, 1]$ homeomorphically, this polynomial possesses at most $n$ real roots in $[-1, 1]$. Therefore all these roots must be simple and give the actual extreme points of $s_n(\theta)$ except for $\theta = \pi$. Clearly $s_n(\theta)$ is positive in the right neighborhood of the origin, and the maximal and minimal points stand in line alternately from left to right. Thus $s_n(\theta)$ attains its minimal values at the points $2\ell\pi/n \in (0, \pi)$ when $n \geq 3$. In the cases $n=1$ and $n=2$, however, $s_n(\theta)$ has no minimal points in $(0, \pi)$.

Now we will show that $s_n(\theta)$ is positive on the interval $(0, \pi)$ by induction on $n$. This is clear for $n=1$ and $n=2$ since $s_1(\theta) = \sin\theta$ and $s_2(\theta) = (1+\cos\theta)\sin\theta$. Suppose that $s_{n-1}(\theta) > 0$ for some $n \geq 3$. Then the minimal values of $s_n(\theta)$ are certainly attained at some points $2\ell\pi/n \in (0, \pi)$, whose values are
$$
s_n\left(\frac{2\ell\pi}{n}\right) = s_{n-1}\left(\frac{2\ell\pi}{n}\right) + \frac{\sin 2\ell\pi}{n}
= s_{n-1}\left(\frac{2\ell\pi}{n}\right) > 0.
$$

Therefore $s_n(\theta) > 0$ on the interval $(0, \pi)$.
"
Sequences and Limits,"For any real number $\theta$ and any positive integer $n$, show the inequality
$$
\frac{\cos\theta}{2} + \frac{\cos 2\theta}{3} + \cdots + \frac{\cos n\theta}{n+1} \geq -\frac{1}{2}.
$$","The proof is substantially based on Verblunsky (1945). Write $\theta$ for $2\vartheta$ for brevity. Let $c_n(\vartheta)$ be the left-hand side of the inequality to be shown. It suffices to confine ourselves to the interval $[0, \pi/2]$. Clearly $c_1(\vartheta) = \cos\vartheta/2 \geq -1/2$ and
$$
c_2(\vartheta) = \frac{2}{3} \cos^2\vartheta + \frac{1}{2} \cos\vartheta - \frac{1}{3} \geq -\frac{41}{96},
$$
and we assume that $n \geq 3$. Note that
$$
\cos n\theta = \frac{\sin(2n+1)\vartheta - \sin(2n-1)\vartheta}{2\sin\vartheta}
= \frac{\sin^2(n+1)\vartheta - 2\sin^2 n\vartheta + \sin^2(n-1)\vartheta}{2\sin^2\vartheta},
$$
whose numerator is the second difference of the positive sequence $\{\sin^2 n\vartheta\}$. Using this formula we get
$$
c_n(\vartheta) = \frac{1}{2\sin^2\vartheta} \sum_{k=1}^n \frac{\sin^2(k+1)\vartheta - 2\sin^2k\vartheta + \sin^2(k-1)\vartheta}{k+1},
$$
which can be written as
$$
\frac{1}{2\sin^2\vartheta} \left(-\frac{2\sin^2\vartheta}{3} + \frac{\sin^2 2\vartheta}{12} + \cdots + \frac{2\sin^2(n-1)\vartheta}{n(n^2-1)}
-\frac{(n-1)\sin^2n\vartheta}{n(n+1)} + \frac{\sin^2(n+1)\vartheta}{n+1}\right).
$$

Hence we obtain
$$
c_n(\vartheta) \geq -\frac{1}{6} + \frac{\cos^2\vartheta}{6} + \frac{\sin^2(n+1)\vartheta - \sin^2n\vartheta}{2(n+1)\sin^2\vartheta}.
$$
For any $\vartheta$ satisfying $\sin(2n+1)\vartheta \geq 0$, we obviously have $c_n(\vartheta) \geq -1/3$. Moreover, if $\vartheta$ belongs to the interval $(3\pi/(2n+1), \pi/2)$, then using Jordan's inequality $\sin\vartheta \geq 2\vartheta/\pi$,
$$
c_n(\vartheta) \geq -\frac{1}{3} - \frac{1}{2(n+1)\sin(3\pi/(2n+1))}
\geq -\frac{1}{3} - \frac{2n+1}{12(n+1)} > -\frac{1}{2}.
$$
Thus it suffices to consider the interval $[\pi/(2n+1), 2\pi/(2n+1)]$.

In general, we consider an interval of the form
$$
\left[\frac{\alpha\pi}{2n+1}, \frac{\beta\pi}{2n+1}\right].
$$
For any $\vartheta$ satisfying $\sin(2n+1)\vartheta \leq c$ on this interval, it follows that
$$
c_n(\vartheta) \geq -\frac{1}{6} - \frac{\sin^2\vartheta}{6} - \frac{c}{2(n+1)\sin\vartheta}.
$$

Now the right-hand side can be written as $-1/6 - \varphi(\sin\vartheta)$, where $\varphi(x)$ is a concave function; hence, the maximum of $\varphi$ is attained at an endpoint of that interval. By using
$$
\alpha\pi\sin\vartheta \geq 7\vartheta\sin\frac{\alpha\pi}{7},
$$
we get
$$
\varphi\left(\sin\frac{\alpha\pi}{2n+1}\right) = \frac{1}{6} \sin^2\frac{\alpha\pi}{2n+1} + \frac{c}{2(n+1)\sin(\alpha\pi/(2n+1))}
$$
$$
\leq \frac{(\alpha\pi)^2}{6(2n+1)^2} + \frac{c}{2(n+1)} \cdot \frac{2n+1}{7\sin(\alpha\pi/7)}.
$$

Since $n \geq 3$, the last expression is less than
$$
\frac{(\alpha\pi)^2}{294} + \frac{c}{7\sin(\alpha\pi/7)}.
$$

Similarly, we get an estimate for another endpoint. For $\alpha=1$ and $\beta=4/3$, we can take $c=\sqrt{3}/2$ so that the value of $\varphi$ at the corresponding endpoint is less than 0.319 and 0.28 respectively. Similarly for $\alpha=4/3$ and $\beta=2$, we can take $c=1$ so that the value of $\varphi$ is less than 0.314 and 0.318 respectively. Therefore the maximum of $\varphi$ on the interval $[\pi/(2n+1), 2\pi/(2n+1)]$ is less than $1/3$, which implies that $c_n(\vartheta) > -1/2$.
"
Sequences and Limits,"Given a positive sequence $\{a_n\}_{n \geq 0}$ satisfying $\sqrt{a_1} \geq \sqrt{a_0} + 1$ and
$$
\left| a_{n+1} - \frac{a_n^2}{a_{n-1}} \right| \leq 1
$$
for any positive integer $n$, show that
$$
\frac{a_{n+1}}{a_n}
$$
converges as $n \to \infty$. Show moreover that $a_n \theta^{-n}$ converges as $n \to \infty$, where $\theta$ is the limit of the sequence $a_{n+1}/a_n$.","We first show that
\[
\frac{a_{n+1}}{a_n} > 1 + \frac{1}{\sqrt{a_0}}
\tag{1.1}
\]
by induction on $n$. When $n=0$ this holds by the assumption. Put $\alpha = 1 + 1/\sqrt{a_0}$ for brevity. Suppose that (1.1) holds for $n \leq m$. We then have $a_k > \alpha^k a_0$ for $1 \leq k \leq m+1$. Thus
\[
\left| \frac{a_{m+2}}{a_{m+1}} - \frac{a_1}{a_0} \right| 
\leq \sum_{k=1}^{m+1} \left| \frac{a_{k+1}}{a_k} - \frac{a_k}{a_{k-1}} \right|
\leq \sum_{k=1}^{m+1} \frac{1}{a_k},
\]
which is less than
\[
\frac{1}{a_0} \sum_{k=1}^{m+1} \alpha^{-k} < \frac{1}{a_0(\alpha - 1)} = \frac{1}{\sqrt{a_0}}.
\]

Therefore
\[
\frac{a_{m+2}}{a_{m+1}} > \frac{a_1}{a_0} - \frac{1}{\sqrt{a_0}} > 1 + \frac{1}{\sqrt{a_0}};
\]
thus (1.1) holds also for $n=m+1$.

Let $p > q$ be any positive integers. In the same way,
\[
\left| \frac{a_{p+1}}{a_p} - \frac{a_{q+1}}{a_q} \right|
\leq \sum_{k=q+1}^p \left| \frac{a_{k+1}}{a_k} - \frac{a_k}{a_{k-1}} \right|
\leq \sum_{k=q+1}^p \frac{1}{a_k},
\]
which is less than
\[
\frac{1}{a_q} \sum_{k=1}^{p-q} \frac{1}{\alpha^k} < \frac{\sqrt{a_0}}{a_q}.
\]

This means that the sequence $\{a_{n+1}/a_n\}$ satisfies the Cauchy criterion since $a_q$ diverges to $\infty$ as $q \to \infty$. Letting $p \to \infty$ in the above inequalities, we get
\[
\left| \frac{a_{q+1}}{a_q} - \theta \right| \leq \frac{\sqrt{a_0}}{a_q}.
\]

Multiplying both sides by $a_q / \theta^{q+1}$, we have
\[
\left| \frac{a_{q+1}}{\theta^{q+1}} - \frac{a_q}{\theta^q} \right| 
\leq \frac{\sqrt{a_0}}{\theta^{q+1}},
\]
which shows that the sequence $\{a_n / \theta^n\}$ also satisfies the Cauchy criterion.
"
Sequences and Limits,"Let $E$ be any bounded closed set in the complex plane containing an infinite number of points, and let $M_n$ be the maximum of $|V(x_1, \dots, x_n)|$ as the points $x_1, \dots, x_n$ run through the set $E$, where
$$
V(x_1, \dots, x_n) = \prod_{1 \leq i < j \leq n} (x_i - x_j)
$$
is the Vandermonde determinant. Show that $M_n^{2/(n(n-1))}$ converges as $n \to \infty$.","Let $\xi_1, \dots, \xi_{n+1}$ be the points at which $|V(x_1, \dots, x_{n+1})|$ attains its maximum $M_{n+1}$. Since
\[
\frac{V(\xi_1, \dots, \xi_{n+1})}{V(\xi_1, \dots, \xi_n)} = (\xi_1 - \xi_{n+1}) \cdots (\xi_n - \xi_{n+1}),
\]
we have
\[
\frac{M_{n+1}}{M_n} \leq |\xi_1 - \xi_{n+1}| \cdots |\xi_n - \xi_{n+1}|.
\]

Applying the same argument to each point $\xi_1, \dots, \xi_n$, we get $n+1$ similar inequalities whose product gives
\[
\left( \frac{M_{n+1}}{M_n} \right)^{n+1} \leq \prod_{i \neq j} |\xi_i - \xi_j| = M_n^2.
\]

Hence the sequence $M_n^{2/(n(n-1))}$ is monotone decreasing."
Infinite Series,"As is well-known, the harmonic series
\[
\frac{1}{1} + \frac{1}{2} + \frac{1}{3} + \cdots + \frac{1}{n} + \cdots
\]
diverges to $\infty$. Show, however, that the convergence of the subseries removing all terms containing the digit ""7"" in the decimal expression of the denominator.","Any integer in the interval $[10^{k-1}, 10^k)$ has $k$ digits in its decimal expansion. Among these there exist exactly $8 \cdot 9^{k-1}$ integers which do not contain the digit `7' in their decimal expansions. Thus the sum of the subseries defined in the problem, say $S$, can be estimated from above as
\[
S < \sum_{k=1}^\infty \frac{8 \cdot 9^{k-1}}{10^{k-1}} = 80.
\]
"
